PVSYST 7.4.8
;File;File date;Description
Proje;ERA GES_Project.PRJ;31/07/25 10h50;Depolamali Demo GES;
Cografi konum;New.SIT;31/07/25 10h50;Gümüstarla;Turkey;Europe;;
Hava durumu verileri;Gümü_tarla_MN81_SYN.MET;11/03/25 21h34;Gümüstarla;Meteonorm 8.1 (2005-2013), Sat=% 100;Sentetik;
Simülasyon varyanti;ERA GES_Project.VC0;31/07/25 10h50;Yeni simülasyon varyanti;
Simulation date;;02/08/25 13h45

Simulation:;Saatlik degerler; 01/01/90;'den 31/12/90'ye 

tarih;GlobInc;GlobEff;EArray;E_Grid;E_Avail;PR;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR
     ;W/m²;W/m²;kW;kW;kW;oran;%;%;%;%;%;%

01/01/90 00:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 01:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 02:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 03:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 04:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 05:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 06:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 07:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 08:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 09:00;244,44;195,73;2146;841,76;2097,5;0,727;16,844;0;16,463;0;98,486;98,486
01/01/90 10:00;315,93;278,17;3117,3;1801,3;3057;0,8198;18,931;0;18,565;0;98,735;98,735
01/01/90 11:00;383,42;341,97;3979,8;2651,7;3907,4;0,8634;19,915;0;19,553;0;98,855;98,855
01/01/90 12:00;246,63;218,76;2735;1423,8;2679,5;0,9205;21,277;0;20,846;0;98,658;98,658
01/01/90 13:00;279,12;246,62;2982,3;1668;2923,7;0,8875;20,501;0;20,098;0;98,71;98,71
01/01/90 14:00;187,01;163,89;2005,6;702,96;1958,7;0,8874;20,577;0;20,095;0;98,43;98,43
01/01/90 15:00;125,68;103,91;1267,8;0;1228,4;0,8281;19,355;0;18,753;0;97,932;97,932
01/01/90 16:00;24,939;21,91;258,92;0;222,3;0,7552;19,92;0;17,103;0;90,392;90,392
01/01/90 17:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 18:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 19:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 20:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 21:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 22:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
01/01/90 23:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 00:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 01:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 02:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 03:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 04:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 05:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 06:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 07:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 08:00;213,23;121,95;1241,6;0;1202,4;0,4778;11,172;0;10,819;0;97,903;97,903
02/01/90 09:00;299,4;238,17;2514;1205,6;2461,3;0,6965;16,111;0;15,773;0;98,603;98,603
02/01/90 10:00;267,82;235,78;2662,1;1351,8;2607,5;0,8249;19,071;0;18,68;0;98,641;98,641
02/01/90 11:00;156,28;136,75;1743,5;443,64;1699,4;0,9213;21,406;0;20,863;0;98,301;98,301
02/01/90 12:00;339,61;304,55;3693,5;2369,6;3625,3;0,9044;20,867;0;20,482;0;98,821;98,821
02/01/90 13:00;323,73;287,41;3399,1;2079,3;3335;0,8728;20,146;0;19,766;0;98,781;98,781
02/01/90 14:00;119,18;103,94;1333,1;37,351;1293,1;0,9192;21,461;0;20,816;0;97,998;97,998
02/01/90 15:00;414,5;317,63;3260;1942,1;3197,8;0,6536;15,09;0;14,802;0;98,759;98,759
02/01/90 16:00;227,83;79,077;790,88;0;755,81;0,2811;6,6604;0;6,365;0;97,115;97,115
02/01/90 17:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 18:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 19:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 20:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 21:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 22:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
02/01/90 23:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 00:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 01:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 02:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 03:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 04:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 05:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 06:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 07:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 08:00;219,98;119,54;1130,4;0;1092,3;0,4207;9,8591;0;9,5266;0;97,767;97,767
03/01/90 09:00;460,61;357,73;3360,5;2041,2;3296,9;0,6064;13,998;0;13,733;0;98,775;98,775
03/01/90 10:00;633,18;562,52;4887,6;3545,4;4801,1;0,6424;14,81;0;14,548;0;98,935;98,935
03/01/90 11:00;733,35;664,05;6781,7;5402,6;6658,3;0,7692;17,743;0;17,42;0;99;99
03/01/90 12:00;758,71;696,67;7486,2;6090,5;7346,2;0,8203;18,932;0;18,577;0;99;99
03/01/90 13:00;724,21;653,25;6534,7;5161,3;6417;0,7507;17,313;0;17,001;0;99;99
03/01/90 14:00;624,88;555,49;4632,6;3294,5;4550,2;0,6169;14,224;0;13,971;0;98,916;98,916
03/01/90 15:00;442,22;334,53;3157,3;1840,8;3096,5;0,5933;13,699;0;13,435;0;98,742;98,742
03/01/90 16:00;219,18;67,562;605,26;0;571,75;0,221;5,2983;0;5,005;0;96,449;96,449
03/01/90 17:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 18:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 19:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 20:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 21:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 22:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
03/01/90 23:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 00:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 01:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 02:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 03:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 04:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 05:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 06:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 07:00;0;0;0;-11,825;0;0;0;0;0;0;0;0
04/01/90 08:00;216,57;118,17;1114,5;0;1076,5;0,4211;9,8733;0;9,5369;0;97,745;97,745
04/01/90 09:00;449,22;349,59;3277,1;1958,9;3214,6;0,6063;13,997;0;13,73;0;98,762;98,762
04/01/90 10:00;622,83;553,8;4817,4;3476,4;4732,1;0,6437;14,84;0;14,578;0;98,93;98,93
04/01/90 11:00;720,33;652,83;6673,3;5296,7;6552,4;0,7707;17,775;0;17,453;0;99;99
04/01/90 12:00;758,81;698,08;7514,2;6117,8;7373,5;0,8233;19;0;18,644;0;99;99
04/01/90 13:00;667,49;602,65;6164;4798,7;6054,4;0,7685;17,718;0;17,403;0;99;99
